,날짜,디바이스,유입경로,키워드,노출수,유입수,유입률(%),체류시간(min),평균체류시간(min),페이지뷰,평균페이지뷰,이탈수,이탈률(%),회원가입,전환율(가입),앱 다운,전환율(앱),구독,전환율(구독),전환수,전환율(%)
,2023-01-01,PC,직접 유입,,0,98,0,106,1.081632653,194,1.979591837,9,9.183673469,4,4.081632653,1,1.020408163,8,8.163265306,13,13.26530612
,2023-01-01,PC,키워드 검색,재활용 가이드,963,92,9.553478712,80,0.869565217,379,4.119565217,5,5.434782609,8,8.695652174,3,3.260869565,0,0,11,11.95652174
,2023-01-01,PC,키워드 검색,지역 재활용 센터,919,73,7.943416757,246,3.369863014,412,5.643835616,3,4.109589041,3,4.109589041,2,2.739726027,0,0,5,6.849315068
,2023-01-01,PC,키워드 검색,환경 보호 앱,891,18,2.02020202,454,25.22222222,189,10.5,7,38.88888889,1,5.555555556,1,5.555555556,4,22.22222222,6,33.33333333
,2023-01-01,PC,키워드 검색,환경 캠페인,81,56,69.13580247,443,7.910714286,216,3.857142857,2,3.571428571,9,16.07142857,10,17.85714286,6,10.71428571,25,44.64285714
,2023-01-01,PC,블로그,,783,51,6.513409962,193,3.784313725,184,3.607843137,10,19.60784314,9,17.64705882,8,15.68627451,5,9.803921569,22,43.1372549
,2023-01-01,PC,카페,,595,52,8.739495798,161,3.096153846,318,6.115384615,10,19.23076923,7,13.46153846,8,15.38461538,7,13.46153846,22,42.30769231
,2023-01-01,PC,이메일,,175,55,31.42857143,313,5.690909091,124,2.254545455,9,16.36363636,5,9.090909091,4,7.272727273,7,12.72727273,16,29.09090909
,2023-01-01,PC,카카오톡,,917,22,2.39912759,271,12.31818182,480,21.81818182,2,9.090909091,10,45.45454545,0,0,3,13.63636364,13,59.09090909
,2023-01-01,PC,메타,,841,46,5.469678954,127,2.760869565,10,0.217391304,7,15.2173913,6,13.04347826,0,0,2,4.347826087,8,17.39130435
,2023-01-01,PC,인스타그램,,1,0,0,274,inf,311,inf,0,,8,inf,4,inf,3,inf,15,inf
,2023-01-01,PC,유튜브,,403,15,3.722084367,89,5.933333333,17,1.133333333,9,60,8,53.33333333,8,53.33333333,5,33.33333333,21,140
,2023-01-01,PC,배너 광고,,952,41,4.306722689,265,6.463414634,412,10.04878049,7,17.07317073,10,24.3902439,7,17.07317073,8,19.51219512,25,60.97560976
